Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Adam Bronikowski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Piotr Buchalski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Sergey Bukreyev,M,Russia,RUS,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Galle Buniet,F,France,FRA,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
Mikoaj Burda,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Simon Burgess,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Anet-Jacqueline Buschmann,F,Bulgaria,BUL,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
Laurent Cadot,M,France,FRA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
David Calder,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Alan Campbell,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Sergio Canciani,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Yuleidys Iznaga,M,Cuba,CUB,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Helen Casey,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Donovan Cech,M,South Africa,RSA,2004,Athina,Rowing,Rowing Men's Coxless Pairs,Bronze
Vclav Jr.,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Virginie Chauvel,F,France,FRA,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Cheng Ran,F,China,CHN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Vladimir Chernenko,M,Uzbekistan,UZB,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Chun Cheung,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Coxed Eights,Silver
Chiang Chien-ju,F,Chinese Taipei,TPE,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Aurica Chiri-brscu,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Anna Chuk,F,Bulgaria,BUL,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Peter Cipollone,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Karen Clark,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Eugene Coakley,M,Ireland,IRL,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Jonathan Coeffic,M,France,FRA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Nicola Coles,F,New Zealand,NZL,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Rodolfo Tourn,M,Uruguay,URU,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Cong Huanling,F,China,CHN,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Edward Coode,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxless Fours,Gold
Jacqui Cook,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Iztok Op,M,Slovenia,SLO,2004,Athina,Rowing,Rowing Men's Double Sculls,Silver
Florin Corbeanu,M,Romania,ROU,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Christian Cormack,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Gheorghe Cornea,M,Romania,ROU,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Alessandro Corona,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Simon Cottle,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Shaun Coulton,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Alison Cox,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxed Eights,Silver
James Cracknell,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxless Fours,Gold
David Crawshay,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Ben Cureton,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Georgeta Damian-andrunache,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxless Pairs,Gold
Georgeta Damian-andrunache,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Mariusz Daniszewski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Caryn Davies,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxed Eights,Silver
Joeri Groot,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Annemiek Haan,F,Netherlands,NED,2004,Athina,Rowing,Rowing Women's Coxed Eights,Bronze
Giuseppe Vita,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Anna-Marie Zwager,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Matt Deakin,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Femke Dekker,F,Netherlands,NED,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Hurnet Dekkers,F,Netherlands,NED,2004,Athina,Rowing,Rowing Women's Coxed Eights,Bronze
Caroline Delas,F,France,FRA,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
Yana Dementieva,F,Ukraine,UKR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
David Dennis,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Dario Dentale,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
Gerardus Derksen,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Coxed Eights,Silver
Maren Derlien,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Jennifer Devine,F,United States,USA,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Jonno Devlin,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Ramon Clemente,M,South Africa,RSA,2004,Athina,Rowing,Rowing Men's Coxless Pairs,Bronze
Jrg Diener,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Megan Dirkmaat,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxed Eights,Silver
Milan Jr.,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Alberto Lorenzo,M,Spain,ESP,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Nuria Asensio,F,Spain,ESP,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Karel Dormans,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Oksana Dorodnova,F,Russia,RUS,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Kyeema Doyle,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Marko Dragievi,M,Croatia,CRO,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Alexander Drysdale,M,New Zealand,NZL,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Frdric Dufour,M,France,FRA,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Richard Dunn,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
J. Duross,M,United States,USA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Rumyana Dzhadzharova-neykova,F,Bulgaria,BUL,2004,Athina,Rowing,Rowing Women's Single Sculls,Bronze
Eskild Ebbesen,M,Denmark,DEN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Thomas Ebert,M,Denmark,DEN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Anthony Edwards,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Gerritjan Eggenkamp,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Coxed Eights,Silver
Tnu Endrekson,M,Estonia,EST,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Thorsten Engelmann,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Nicholas English,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Ingo Euler,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Meike Evers,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
Caroline (-meyer),F,New Zealand,NZL,2004,Athina,Rowing,Rowing Women's Double Sculls,Gold
Georgina (-earl),F,New Zealand,NZL,2004,Athina,Rowing,Rowing Women's Double Sculls,Gold
Dana Faletic,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze
Sergey Fedorovtsev,M,Russia,RUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Gold
Irina Fedotova,F,Russia,RUS,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Feng Xueling,F,China,CHN,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Santiago Fernndez,M,Argentina,ARG,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Deborah Flood,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Silver
Rodica Florea-erban,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Katie Foulkes,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Scott Frandsen,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Pierpaolo Frattini,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Duncan Free,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Jan-Willem Gabrils,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Coxed Eights,Silver
Liliana Gafencu,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Bastien Gallet,M,France,FRA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Rossano Galtarossa,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Double Sculls,Bronze
Gao Yanhua,F,China,CHN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Toby Garbett,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Martha Mayo,F,Mexico,MEX,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Peter Gardner,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Federico Gattinoni,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Hilary Gehman,F,United States,USA,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Marco Geisler,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Nataliya Gelakh,F,Belarus,BLR,2004,Athina,Rowing,Rowing Women's Coxless Pairs,Bronze
Elena Georgescu-nedelcu,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Justin Gevaert,M,Belgium,BEL,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Luca Ghezzi,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Drew Ginn,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Coxless Pairs,Gold
Ibrahim Githaiga,M,Kenya,KEN,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Jarosaw Godek,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Sandra Goldbach,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Thiago Gomes,M,Brazil,BRA,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Jess Alvarez,M,Spain,ESP,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Katherine Grainger,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Coxless Pairs,Silver
Olivier Gremaud,M,Switzerland,SUI,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Paul Griffin,M,Ireland,IRL,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Michelle Guerette,F,United States,USA,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Leonid Gulov,M,Estonia,EST,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Silke Gnther,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Wojciech Gutorski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Marcel Hacker,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Juliette Haigh,F,New Zealand,NZL,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
kos Haller,M,Hungary,HUN,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Amber Halliday,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Ham Jeong-uk,M,South Korea,KOR,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Kyle Hamilton,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Jakub Hank,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Silver
Joseph Hansen,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Boden Hanson,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Coxed Eights,Bronze
Peter Hardcastle,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Adrien Hardy,M,France,FRA,2004,Athina,Rowing,Rowing Men's Double Sculls,Gold
Raphael Hartl,M,Austria,AUT,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Gavin Hassett,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Bernd Heidicker,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Monique Heinke,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Rafa Hejmej,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Michael Hennessy,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Yoennis Arruez,M,Cuba,CUB,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Thomas Herschmiller,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxless Fours,Silver
Jan Herzog,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Hin Th,F,Vietnam,VIE,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Elke Hipler,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Zsolt Hirling,M,Hungary,HUN,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Ben Holbrook,M,United States,USA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Danika Holbrook-harris,F,United States,USA,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Britta Holthaus,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Nienke Hommes,F,Netherlands,NED,2004,Athina,Rowing,Rowing Women's Coxed Eights,Bronze
Beau Hoopman,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Kerry Hore,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze
Andrew Hoskins,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Frances Houghton,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Silver
Andrej Hrabar,M,Slovenia,SLO,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Serhiy Hryn,M,Ukraine,UKR,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Bronze
Nataliya Huba,F,Ukraine,UKR,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
Gabriela Trillo,F,Mexico,MEX,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Mark Hunter,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Gaetano Iannuzzi,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Ali Ibrahim,M,Egypt,EGY,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Yosvel Montano,M,Cuba,CUB,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Doina Ignat,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Petr Imre,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Akiko Iwamoto,F,Japan,JPN,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Jri Jaanson,M,Estonia,EST,2004,Athina,Rowing,Rowing Men's Single Sculls,Silver
Soraya Arriaza,F,Chile,CHI,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Robert Jahrling,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Thomas James,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Andrei Jms,M,Estonia,EST,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Christopher Jarvis,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
George Jelbart,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Micha Jeliski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Jin Ziwei,F,China,CHN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
David Jirka,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Silver
Katherine Johnson,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxed Eights,Silver
Craig Jones,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Mara Jones,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Sarah Jones,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Yuliya Kalinovskaya,F,Russia,RUS,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
Tom Karas,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Silver
Kstutis Keblys,M,Lithuania,LTU,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Magdalena Kemnitz,F,Poland,POL,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Yekaterina Khodotovich-karsten,F,Belarus,BLR,2004,Athina,Rowing,Rowing Women's Single Sculls,Silver
Janez Klemeni,M,Slovenia,SLO,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Garrett Klugh,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Marek Kolbowicz,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Tetiana Kolesnikova,F,Ukraine,UKR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Sabrina Kolker,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Stephan Koltzk,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
David Kopiva,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Silver
Laurel Korholz,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxed Eights,Silver
Pere Koroba,F,Indonesia,INA,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Adam Korol,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Sebastian Kosiorek,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Kerstin Kowalski-el-qalqili,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
Milka Kraljev,F,Argentina,ARG,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Igor Kravtsov,M,Russia,RUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Gold
Adam Kreek,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Hans Kristensen,M,Denmark,DEN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Sawomir Kruszkowski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Tomasz Kucharski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,Gold
Tobias Khne,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Igor Kuzmin,M,Estonia,EST,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Tracy Langlands,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Matthew Langridge,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Dario Lari,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Christophe Lattaignant,M,France,FRA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Thomas Laurich,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Sarah Lauritzen,F,Denmark,DEN,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Elise (-sherwell),F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Double Sculls,Bronze
Law Fung,M,Hong Kong,HKG,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Ian Lawson,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Donald Leach,M,New Zealand,NZL,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Lee Yun-hui,F,South Korea,KOR,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Raffaello Leonardo,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
Yuliya Levina,F,Russia,RUS,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Li Qian,F,China,CHN,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Kevin Light,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
