Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Enik Barabs-mironcic,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
Gabriella Bascelli,F,Italy,ITA,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Eider Vargas,M,Cuba,CUB,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Jonathan Beare,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Anna Bebington-watkins,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Double Sculls,Bronze
Fabiana Beltrame,F,Brazil,BRA,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Samuel Beltz,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Norberto Vila,M,Honduras,HON,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Miosz Bernatajtys,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Cdric Berrest,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Bronze
Ren Bertram,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Mara Palazzolo,F,Argentina,ARG,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Jean-Christophe Bette,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Yuliya Bichik,F,Belarus,BLR,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,Bronze
Serhiy Biloushchenko,M,Ukraine,UKR,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Khrysa Biskitzi,F,Greece,GRE,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Rogier Blink,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Hamish Bond,M,New Zealand,NZL,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Sarah Bonikowsky,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Kathrin (-kppen),F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,Bronze
Robin Bourne-taylor,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Micah Boyd,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
Amber Bradley,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Iain Brambell,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Manuel Brehmer,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Scott Brennan,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Double Sculls,Gold
George Bridgewater,M,New Zealand,NZL,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,Bronze
Karsten Brodowski,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Milan Bruncvk,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Marcin Brzeziski,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Patryk Brzeziski,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Ashley Brzozowicz,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Mikoaj Burda,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
James Byrnes,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
Laurent Cadot,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Erin (-mckenzie),F,United States,USA,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
David Calder,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,Silver
Tracy Cameron,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
Alan Campbell,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Lorenzo Carboncini,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Berit Carow,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Camila Carvalho,F,Brazil,BRA,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Yuleidys Iznaga,M,Cuba,CUB,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Helen Casey,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Sean Casey,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Vclav Jr.,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Richard Chambers,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
James Chapman,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Germain Chardin,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Coxless Fours,Bronze
Roderick Chisholm,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Chow Wing,M,Hong Kong,HKG,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Geert Cirkel,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
James Clarke,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Richard Coakley,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Jonathan Coeffic,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Bronze
Roxana Cogianu,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Double Sculls,No medal
Nathan Cohen,M,New Zealand,NZL,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Nicola Coles,F,New Zealand,NZL,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Rodolfo Tourn,M,Uruguay,URU,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Janier Hernndez,M,Cuba,CUB,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Sam Conrad,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Sarah Cook,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Iztok Op,M,Slovenia,SLO,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Steven Jr.,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
David Crawshay,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Double Sculls,Gold
Kimberley Crow-brennan,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Ben Cureton,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
James Dallinger,M,New Zealand,NZL,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
William Daly,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Georgeta Damian-andrunache,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,Gold
Georgeta Damian-andrunache,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
Caryn Davies,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
Annemiek Haan,F,Netherlands,NED,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Silver
Rachelle Jong-viinberg,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Giuseppe Vita,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Anna-Marie Zwager,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Stphanie Dechand,F,France,FRA,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Femke Dekker,F,Netherlands,NED,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Silver
Yana Dementieva,F,Ukraine,UKR,2008,Beijing,Rowing,Rowing Women's Double Sculls,No medal
Andrey Demyanenko,M,Belarus,BLR,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
David Dennis,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Dario Dentale,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Maren Derlien,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Maren Derlien,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Julien Desprs,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Coxless Fours,Bronze
Jonno Devlin,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Ramon Clemente,M,South Africa,RSA,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Milan Jr.,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Nuria Asensio,F,Spain,ESP,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Oksana Dorodnova,F,Russia,RUS,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Marie-Louise Drger,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Felix Drahotta,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Paul Drewes,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Chaouki Dries,M,Algeria,ALG,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Alexander Drysdale,M,New Zealand,NZL,2008,Beijing,Rowing,Rowing Men's Single Sculls,Bronze
Inga Dudchenko,F,Kazakhstan,KAZ,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Frdric Dufour,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Rumyana Dzhadzharova-neykova,F,Bulgaria,BUL,2008,Beijing,Rowing,Rowing Women's Single Sculls,Gold
Eskild Ebbesen,M,Denmark,DEN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Thomas Ebert,M,Denmark,DEN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Jessica Eddie,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Anthony Edwards,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Richard Egington,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
Florian Eichner,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Tnu Endrekson,M,Estonia,EST,2008,Beijing,Rowing,Rowing Men's Double Sculls,Silver
Paul Ndoumb,M,Cameroon,CMR,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Caroline (-meyer),F,New Zealand,NZL,2008,Beijing,Rowing,Rowing Women's Double Sculls,Gold
Georgina (-earl),F,New Zealand,NZL,2008,Beijing,Rowing,Rowing Women's Double Sculls,Gold
Sergey Fedorovtsev,M,Russia,RUS,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Santiago Fernndez,M,Argentina,ARG,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Gaper Fistravec,M,Slovenia,SLO,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Matthias Flach,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Deborah Flood,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,Silver
Rodica Florea-erban,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
Cormac Folan,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
ngel Rodrguez,M,Cuba,CUB,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Pedro Fraga,M,Portugal,POR,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Zsuzsanna Francia,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
Scott Frandsen,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,Silver
Pauline Frasca,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Duncan Free,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,Gold
Alice Freeman,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Jan-Willem Gabrils,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Ahmed Gad,M,Egypt,EGY,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Rossano Galtarossa,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
Gao Yulan,F,China,CHN,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,Silver
Angel Correale,M,Uruguay,URU,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Mohamed Garidi,M,Algeria,ALG,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Scott Gault,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Nataliya Gelakh,F,Belarus,BLR,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,Bronze
Elena Georgescu-nedelcu,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
Adriana Geyser,F,South Africa,RSA,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Thomas Gibson,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Drew Ginn,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,Gold
Jarosaw Godek,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Marshall Godschalk,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Maxime Goisset,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Jennifer (-beery),F,United States,USA,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Thiago Gomes,M,Brazil,BRA,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Mayra Borroto,F,Cuba,CUB,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Anna Goodale,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
Hester Goodsell,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Katherine Grainger,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,Silver
Luciana Granato,F,Brazil,BRA,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Catherine (-solesbury),F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Paul Griffin,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Mindaugas Grikonis,M,Lithuania,LTU,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Jan Gruber,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Hans Gruhne,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Michelle Guerette,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Single Sculls,Silver
Krista Guloien,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Guo Kang,M,China,CHN,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Wojciech Gutorski,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Marcel Hacker,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Juliette Haigh,F,New Zealand,NZL,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Amber Halliday,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Sjoerd Hamburger,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Kyle Hamilton,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
Jakub Hank,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Janine Hanson,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Peter Hardcastle,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Adrien Hardy,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Gregor Hauffe,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
He Yi,M,China,CHN,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Sarah Heard,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Alastair Heathcote,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
Francis Hegerty,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxless Fours,Silver
Rafa Hejmej,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Christina (gerking-),F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Dhison Echezuria,M,Venezuela,VEN,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Yoennis Arruez,M,Cuba,CUB,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Elana Hill,F,Zimbabwe,ZIM,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Elke Hipler,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Zsolt Hirling,M,Hungary,HUN,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Piotr Hojka,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Beau Hoopman,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
Kerry Hore,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Kate Hornsey,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Michal Horvth,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Zo Hoskins,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Homa Hosseini,F,Iran,IRI,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Frances Houghton,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,Silver
Marguerite Houston,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Elliot Hovey,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Malcolm Howard,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
Natasha Howard,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Serhiy Hryn,M,Ukraine,UKR,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Huang Zhongming,M,China,CHN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Gabriela Trillo,F,Mexico,MEX,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Matthew Hughes,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Mark Hunter,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,Gold
Christiane Huth,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Double Sculls,Silver
Renee Hykel,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Abdel Ibrahim,M,Egypt,EGY,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Ali Ibrahim,M,Egypt,EGY,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Rodrigo Forero,M,Colombia,COL,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Doina Ignat,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
Joshua Inman,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
Amy Ives,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Akiko Iwamoto,F,Japan,JPN,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Jri Jaanson,M,Estonia,EST,2008,Beijing,Rowing,Rowing Men's Double Sculls,Silver
Soraya Arriaza,F,Chile,CHI,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Goran Jagar,M,Serbia,SRB,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Thomas James,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Coxless Fours,Gold
Andrei Jms,M,Estonia,EST,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Jang Kang-eun,M,South Korea,KOR,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Hamzah Jebur,M,Iraq,IRQ,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Micha Jeliski,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
Ji Yoo-jin,F,South Korea,KOR,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Jin Ziwei,F,China,CHN,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,Gold
David Jirka,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Morten Jrgensen,M,Denmark,DEN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Kenneth Jurkowski,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Janez Jure,M,Slovenia,SLO,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Jernej Jure,M,Slovenia,SLO,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Jennifer Kaido,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Yuliya Kalinovskaya,F,Russia,RUS,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Megan Kalmoe,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Double Sculls,No medal
Per Karonen,M,Sweden,SWE,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Urs Kufer,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Shaun Keeling,M,South Africa,RSA,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Sally Kehoe,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Elizabeth Kell,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Devender Khandwal,M,India,IND,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Yekaterina Khodotovich-karsten,F,Belarus,BLR,2008,Beijing,Rowing,Rowing Women's Single Sculls,Bronze
Ioannis Khristou,M,Greece,GRE,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Kim Hong-kyun,M,South Korea,KOR,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Nienke Kingma,F,Netherlands,NED,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Silver
Jozef Klaassen,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Meindert Klem,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Alison Knowles,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Ko Young-eun,F,South Korea,KOR,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Jonathan Koch,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Melanie Kok,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
Rok Kolander,M,Slovenia,SLO,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Marek Kolbowicz,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
Tetiana Kolesnikova,F,Ukraine,UKR,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Sabrina Kolker,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Aleksandr Kornilov,M,Russia,RUS,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Adam Korol,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
Sebastian Kosiorek,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Aleksandr Kozubovsky,M,Belarus,BLR,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Adam Kreek,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
Stephan Krger,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
