Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Fabiana Beltrame,F,Brazil,BRA,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Fabiana Beltrame,F,Brazil,BRA,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Samuel Beltz,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Gbor Bencsik,M,Hungary,HUN,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Olga Berezneva,F,Belarus,BLR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Jean-David Bernard,M,France,FRA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Norberto Vila,M,Honduras,HON,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Miosz Bernatajtys,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Cdric Berrest,M,France,FRA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Cdric Berrest,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Bronze
Lorenzo Bertini,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Ren Bertram,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Ren Bertram,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Mara Palazzolo,F,Argentina,ARG,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Jean-Christophe Bette,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Yuliya Bichik,F,Belarus,BLR,2004,Athina,Rowing,Rowing Women's Coxless Pairs,Bronze
Yuliya Bichik,F,Belarus,BLR,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,Bronze
Serhiy Biloushchenko,M,Ukraine,UKR,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Bronze
Serhiy Biloushchenko,M,Ukraine,UKR,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Catherine Bishop,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Coxless Pairs,Silver
Khrysa Biskitzi,F,Greece,GRE,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Khrysa Biskitzi,F,Greece,GRE,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Claudia Blasberg,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,Silver
Rogier Blink,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Sergey Bogdanov,M,Uzbekistan,UZB,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Hamish Bond,M,New Zealand,NZL,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Sarah Bonikowsky,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Igor Boraska,M,Croatia,CRO,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Stacey Borgman,F,United States,USA,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Kathrin (-kppen),F,Germany,GER,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
Kathrin (-kppen),F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,Bronze
Robin Bourne-taylor,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Robin Bourne-taylor,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Micah Boyd,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
Amber Bradley,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze
Amber Bradley,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Iain Brambell,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Iain Brambell,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Manuel Brehmer,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Manuel Brehmer,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Mariya Brel,F,Belarus,BLR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Scott Brennan,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Scott Brennan,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Double Sculls,Gold
George Bridgewater,M,New Zealand,NZL,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
George Bridgewater,M,New Zealand,NZL,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,Bronze
Karsten Brodowski,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Jan-Martin Brer,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Adam Bronikowski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Milan Bruncvk,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Marcin Brzeziski,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Patryk Brzeziski,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Ashley Brzozowicz,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Piotr Buchalski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Sergey Bukreyev,M,Russia,RUS,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Galle Buniet,F,France,FRA,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
Mikoaj Burda,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Mikoaj Burda,M,Poland,POL,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Simon Burgess,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Anet-Jacqueline Buschmann,F,Bulgaria,BUL,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
James Byrnes,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
Laurent Cadot,M,France,FRA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Laurent Cadot,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Erin (-mckenzie),F,United States,USA,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
David Calder,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
David Calder,M,Canada,CAN,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,Silver
Tracy Cameron,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
Alan Campbell,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Alan Campbell,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Sergio Canciani,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Lorenzo Carboncini,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Berit Carow,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Camila Carvalho,F,Brazil,BRA,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Yuleidys Iznaga,M,Cuba,CUB,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Yuleidys Iznaga,M,Cuba,CUB,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Helen Casey,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Helen Casey,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Sean Casey,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Donovan Cech,M,South Africa,RSA,2004,Athina,Rowing,Rowing Men's Coxless Pairs,Bronze
Vclav Jr.,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Vclav Jr.,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Richard Chambers,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
James Chapman,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Germain Chardin,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Coxless Fours,Bronze
Virginie Chauvel,F,France,FRA,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Cheng Ran,F,China,CHN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Vladimir Chernenko,M,Uzbekistan,UZB,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Chun Cheung,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Coxed Eights,Silver
Chiang Chien-ju,F,Chinese Taipei,TPE,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Aurica Chiri-brscu,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Roderick Chisholm,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Chow Wing,M,Hong Kong,HKG,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Anna Chuk,F,Bulgaria,BUL,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Peter Cipollone,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Geert Cirkel,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Karen Clark,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
James Clarke,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Eugene Coakley,M,Ireland,IRL,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Richard Coakley,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Jonathan Coeffic,M,France,FRA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Jonathan Coeffic,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Bronze
Roxana Cogianu,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Double Sculls,No medal
Nathan Cohen,M,New Zealand,NZL,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Nicola Coles,F,New Zealand,NZL,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Nicola Coles,F,New Zealand,NZL,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Rodolfo Tourn,M,Uruguay,URU,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Rodolfo Tourn,M,Uruguay,URU,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Janier Hernndez,M,Cuba,CUB,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Cong Huanling,F,China,CHN,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Sam Conrad,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Edward Coode,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxless Fours,Gold
Jacqui Cook,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Sarah Cook,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Iztok Op,M,Slovenia,SLO,2004,Athina,Rowing,Rowing Men's Double Sculls,Silver
Iztok Op,M,Slovenia,SLO,2008,Beijing,Rowing,Rowing Men's Double Sculls,No medal
Steven Jr.,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
Florin Corbeanu,M,Romania,ROU,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Christian Cormack,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Gheorghe Cornea,M,Romania,ROU,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Alessandro Corona,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Simon Cottle,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Shaun Coulton,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Alison Cox,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxed Eights,Silver
James Cracknell,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxless Fours,Gold
David Crawshay,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
David Crawshay,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Double Sculls,Gold
Kimberley Crow-brennan,F,Australia,AUS,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Ben Cureton,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Ben Cureton,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
James Dallinger,M,New Zealand,NZL,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
William Daly,M,United States,USA,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Georgeta Damian-andrunache,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxless Pairs,Gold
Georgeta Damian-andrunache,F,Romania,ROU,2004,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Georgeta Damian-andrunache,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,Gold
Georgeta Damian-andrunache,F,Romania,ROU,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
Mariusz Daniszewski,M,Poland,POL,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Caryn Davies,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxed Eights,Silver
Caryn Davies,F,United States,USA,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
Joeri Groot,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Annemiek Haan,F,Netherlands,NED,2004,Athina,Rowing,Rowing Women's Coxed Eights,Bronze
Annemiek Haan,F,Netherlands,NED,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Silver
Rachelle Jong-viinberg,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Giuseppe Vita,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Giuseppe Vita,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Anna-Marie Zwager,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Anna-Marie Zwager,F,Canada,CAN,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Matt Deakin,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Stphanie Dechand,F,France,FRA,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Femke Dekker,F,Netherlands,NED,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Femke Dekker,F,Netherlands,NED,2008,Beijing,Rowing,Rowing Women's Coxed Eights,Silver
Hurnet Dekkers,F,Netherlands,NED,2004,Athina,Rowing,Rowing Women's Coxed Eights,Bronze
Caroline Delas,F,France,FRA,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
Yana Dementieva,F,Ukraine,UKR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Yana Dementieva,F,Ukraine,UKR,2008,Beijing,Rowing,Rowing Women's Double Sculls,No medal
Andrey Demyanenko,M,Belarus,BLR,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
David Dennis,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
David Dennis,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Dario Dentale,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
Dario Dentale,M,Italy,ITA,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Gerardus Derksen,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Coxed Eights,Silver
Maren Derlien,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Maren Derlien,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Coxless Pairs,No medal
Maren Derlien,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Julien Desprs,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Coxless Fours,Bronze
Jennifer Devine,F,United States,USA,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Jonno Devlin,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Jonno Devlin,M,Ireland,IRL,2008,Beijing,Rowing,Rowing Men's Coxless Fours,No medal
Ramon Clemente,M,South Africa,RSA,2004,Athina,Rowing,Rowing Men's Coxless Pairs,Bronze
Ramon Clemente,M,South Africa,RSA,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Jrg Diener,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Megan Dirkmaat,F,United States,USA,2004,Athina,Rowing,Rowing Women's Coxed Eights,Silver
Milan Jr.,M,Czech Republic,CZE,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Milan Jr.,M,Czech Republic,CZE,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Alberto Lorenzo,M,Spain,ESP,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Nuria Asensio,F,Spain,ESP,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Nuria Asensio,F,Spain,ESP,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Karel Dormans,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Oksana Dorodnova,F,Russia,RUS,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Oksana Dorodnova,F,Russia,RUS,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,No medal
Kyeema Doyle,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Coxed Eights,No medal
Marie-Louise Drger,F,Germany,GER,2008,Beijing,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Marko Dragievi,M,Croatia,CRO,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Felix Drahotta,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxless Pairs,No medal
Paul Drewes,M,Netherlands,NED,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Chaouki Dries,M,Algeria,ALG,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Alexander Drysdale,M,New Zealand,NZL,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Alexander Drysdale,M,New Zealand,NZL,2008,Beijing,Rowing,Rowing Men's Single Sculls,Bronze
Inga Dudchenko,F,Kazakhstan,KAZ,2008,Beijing,Rowing,Rowing Women's Single Sculls,No medal
Frdric Dufour,M,France,FRA,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Frdric Dufour,M,France,FRA,2008,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Richard Dunn,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
J. Duross,M,United States,USA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Rumyana Dzhadzharova-neykova,F,Bulgaria,BUL,2004,Athina,Rowing,Rowing Women's Single Sculls,Bronze
Rumyana Dzhadzharova-neykova,F,Bulgaria,BUL,2008,Beijing,Rowing,Rowing Women's Single Sculls,Gold
Eskild Ebbesen,M,Denmark,DEN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Eskild Ebbesen,M,Denmark,DEN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Thomas Ebert,M,Denmark,DEN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Thomas Ebert,M,Denmark,DEN,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Jessica Eddie,F,Great Britain,GBR,2008,Beijing,Rowing,Rowing Women's Coxed Eights,No medal
Anthony Edwards,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Anthony Edwards,M,Australia,AUS,2008,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Gerritjan Eggenkamp,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Coxed Eights,Silver
Richard Egington,M,Great Britain,GBR,2008,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
Florian Eichner,M,Germany,GER,2008,Beijing,Rowing,Rowing Men's Coxed Eights,No medal
Tnu Endrekson,M,Estonia,EST,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Tnu Endrekson,M,Estonia,EST,2008,Beijing,Rowing,Rowing Men's Double Sculls,Silver
Thorsten Engelmann,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Nicholas English,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Paul Ndoumb,M,Cameroon,CMR,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Ingo Euler,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Meike Evers,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
Caroline (-meyer),F,New Zealand,NZL,2004,Athina,Rowing,Rowing Women's Double Sculls,Gold
Caroline (-meyer),F,New Zealand,NZL,2008,Beijing,Rowing,Rowing Women's Double Sculls,Gold
Georgina (-earl),F,New Zealand,NZL,2004,Athina,Rowing,Rowing Women's Double Sculls,Gold
Georgina (-earl),F,New Zealand,NZL,2008,Beijing,Rowing,Rowing Women's Double Sculls,Gold
Dana Faletic,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze
Sergey Fedorovtsev,M,Russia,RUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Gold
Sergey Fedorovtsev,M,Russia,RUS,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,No medal
Irina Fedotova,F,Russia,RUS,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Feng Xueling,F,China,CHN,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
